Codigo,Nombre,Categoria,Estado,Departamento,Municipio,Altitud,Fecha_instalacion,Fecha_suspension,Corriente,Latitude,Longitud
27027160,CULEBRA LA TC 8  [27027160],Limnigráfica,Suspendida,Antioquia,Angostura,1850,15/10/1979,15/02/1982,Dolores,6.85,-75.36666667
27027010,DOLORES TC 6  [27027010],Limnigráfica,Suspendida,Antioquia,Angostura,1840,15/08/1958,15/06/1976,Dolores,6.86666667,-75.36666667
24055060,DIVISO EL  [24055060],Meteorológica Especial,Suspendida,Santander,San Vicente De Chucurí,1200,15/07/1975,15/01/1991,Canal Pajarito,6.9,-73.66666667
23175010,CABUYAL  [23175010],Climática Ordinaria,Suspendida,Antioquia,Remedios,540,15/06/1985,15/04/1991,Qda Santa Barbara,6.95,-74.6
27017510,COLNYLON  [27017510],Limnimétrica,Suspendida,Antioquia,Sabaneta,1552,15/03/1980,15/07/1985,Qla Doctora,6.16666667,-75.6
27017040,AGUACATALA LA RMS1  [27017040],Limnigráfica,Suspendida,Antioquia,Medellín,1505,15/07/1950,15/03/1989,Medellin,6.2,-75.58333333
27017710,DESEMBOCADURA  [27017710],Limnimétrica,Suspendida,Antioquia,Santa Rosa De Osos,2400,15/05/1983,15/11/1985,Qda El Rosal,6.65,-75.5
23015020,APTO HONDA  [23015020],Climática Ordinaria,Suspendida,Tolima,Honda,183,15/07/1942,15/11/1951,El Hato,5.25,-74.9
26140190,PTE UMBRIA  [26140190],Pluviométrica,Suspendida,RIsaralda,Belén De Umbría,1280,15/02/1965,15/01/1983,Lag Cucunuba,5.25,-75.85
21207220,REP MUNA-SUMINISTR  [21207220],Limnimétrica,Suspendida,Cundinamarca,Sibaté,2650,15/05/1944,15/12/1964,Muna,4.5,-74.25
21200060,APULO-RAFAEL REYES  [21200060],Pluviométrica,Suspendida,Cundinamarca,Apulo,400,15/06/1923,15/07/1924,Rio Tunjuelo,4.51666667,-74.65
35070270,CAPILLA DE TENZA  [35070270],Pluviográfica,Suspendida,Boyacá,Tenza,1500,15/04/1938,15/10/1938,La Maria,5.08333333,-73.45
21200730,STA ANA  [21200730],Pluviométrica,Suspendida,Cundinamarca,Nemocón,2575,15/01/1960,15/02/1974,Embalse Sisga,5.1,-73.88333333
35070390,TIBIRITA  [35070390],Pluviométrica,Suspendida,Cundinamarca,Machetá,1670,15/05/1955,15/03/1965,Qda Charcon,5.1,-73.53333333
21207940,PTE CALDAS  [21207940],Limnimétrica,Suspendida,Cundinamarca,Nemocón,2658,15/05/1968,15/05/1969,Checua,5.13333333,-73.86666667
26180110,ABEJORRAL  [26180110],Pluviométrica,Suspendida,Antioquia,Abejorral,2120,15/01/1959,15/10/1991,Perillo,5.8,-75.43333333
26197060,REMOLINO PSJ 2  [26197060],Limnigráfica,Suspendida,Antioquia,Ciudad Bolívar,910,15/08/1980,15/10/1990,Bolivar,5.83333333,-75.9
26187080,STA CATALINA BP-4  [26187080],Limnimétrica,Suspendida,Antioquia,Abejorral,2180,15/11/1954,15/07/1958,Qda Sta Catalina,5.88333333,-75.45
26187050,MAYORIA LA BP 5  [26187050],Limnigráfica,Suspendida,Antioquia,La Ceja,2070,15/08/1982,15/12/1985,Buey,5.9,-75.43333333
21201390,MADRID  [21201390],Pluviométrica,Suspendida,Cundinamarca,Madrid,2585,15/04/1965,15/10/1980,Rio Teusaca,4.73333333,-74.3
21207700,PTE EL CORTIJO  [21207700],Limnimétrica,Suspendida,Bogotá,"Bogota, D.C",2561,15/11/1963,15/08/1967,Bogota,4.73333333,-74.13333333
26070840,STA GERTRUDIS  [26070840],Pluviográfica,Suspendida,Valle del Cauca,Palmira,1020,15/01/1934,15/03/1936,Anchicaya,3.6,-76.26666667
